id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1118369897166274561,Wed Apr 17 04:25:36 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ShivamShankarS: Man! #BJP is having a field day with this video, but to be honest it goes to show what a great guy @RahulGandhi actuall…",RT ShivamShankarS Man BJP field day video honest goes show great guy RahulGandhi actuall…,"Sentiment(polarity=0.7, subjectivity=0.825)",0.7,0.825,en,0,680,abmhere,,BJP,"ShivamShankarS, RahulGandhi",,
1118369829197688832,Wed Apr 17 04:25:20 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @ShivamShankarS: Man! #BJP is having a field day with this video, but to be honest it goes to show what a great guy @RahulGandhi actuall…",RT ShivamShankarS Man BJP field day video honest goes show great guy RahulGandhi actuall…,"Sentiment(polarity=0.7, subjectivity=0.825)",0.7,0.825,en,0,680,dev8546,,BJP,"ShivamShankarS, RahulGandhi",Bangalore,
1118369757533806595,Wed Apr 17 04:25:03 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Mayuri6: Let us not spoil our relationship by talking politics..

""Those who like #BJP May God bless them with son /grandson like Modi""…",RT Mayuri6 Let us spoil relationship talking politics.. '' Those like BJP May God bless son /grandson like Modi '' …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,ranveer_78,,BJP,Mayuri6,"Global citizen, I for Indian",
1118369746406256645,Wed Apr 17 04:25:00 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@satishacharya @BJPKarnataka @satishacharya before slamming to #BJP kindly chk it, it's not #BJP official account i… https://t.co/m70DvV3DGC",satishacharya BJPKarnataka satishacharya slamming BJP kindly chk 's BJP official account i… https //t.co/m70DvV3DGC,"Sentiment(polarity=0.6, subjectivity=0.9)",0.6,0.9,en,0,0,WingsTrails,,"BJP, BJP","satishacharya, BJPKarnataka, satishacharya","Bengaluru, India",
1118369724856000518,Wed Apr 17 04:24:55 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @dpradhanbjp: We have promised to provide interest free crop loans to all sharecroppers, small and marginal farmers of Odisha. #BJP shal…",RT dpradhanbjp We promised provide interest free crop loans sharecroppers small marginal farmers Odisha BJP shal…,"Sentiment(polarity=0.07500000000000001, subjectivity=0.6000000000000001)",0.07500000000000001,0.6000000000000001,en,0,238,Juses71,,BJP,dpradhanbjp,"Cuttack, India",
1118369705696350210,Wed Apr 17 04:24:50 +0000 2019,"<a href=""https://riju.byethost31.com"" rel=""nofollow"">Keralamthinks</a>","RT @SaintIGNUtius: Achchhe din means: To remain alive

This is what #Modi and his cronies have brought us.

#AbKiBarModiKaHaar
#Vote4Left…",RT SaintIGNUtius Achchhe din means To remain alive This Modi cronies brought us AbKiBarModiKaHaar Vote4Left…,"Sentiment(polarity=0.1, subjectivity=0.4)",0.1,0.4,en,0,2,vote4cpim,,"Modi, AbKiBarModiKaHaar, Vote4Left",SaintIGNUtius,"Kerala, India",
1118369673618370560,Wed Apr 17 04:24:43 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@htTweets OK 
So #BJP want to increase vote share in Punjab. 
Understood. 
Thanks",htTweets OK So BJP want increase vote share Punjab Understood Thanks,"Sentiment(polarity=0.35, subjectivity=0.35)",0.35,0.35,en,1,0,ayub,,BJP,htTweets,"Mumbai, INDIA",
1118369663552053248,Wed Apr 17 04:24:40 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ShivamShankarS: Man! #BJP is having a field day with this video, but to be honest it goes to show what a great guy @RahulGandhi actuall…",RT ShivamShankarS Man BJP field day video honest goes show great guy RahulGandhi actuall…,"Sentiment(polarity=0.7, subjectivity=0.825)",0.7,0.825,en,0,680,srikantasingh,,BJP,"ShivamShankarS, RahulGandhi",,
1118369572309164034,Wed Apr 17 04:24:18 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Hypocrisy alert. @Soni_Razdan says Nt 2 vote 4 Modi. Bt her daughter @aliaa08 goes 2 #KumbhMela @ Prayagraj 2 promo… https://t.co/4gXMA5cMwR,Hypocrisy alert Soni_Razdan says Nt 2 vote 4 Modi Bt daughter aliaa08 goes 2 KumbhMela Prayagraj 2 promo… https //t.co/4gXMA5cMwR,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,2,rimajha,,KumbhMela,"Soni_Razdan, aliaa08","Hyderabad, India",
1118369536523345924,Wed Apr 17 04:24:10 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ShivamShankarS: Man! #BJP is having a field day with this video, but to be honest it goes to show what a great guy @RahulGandhi actuall…",RT ShivamShankarS Man BJP field day video honest goes show great guy RahulGandhi actuall…,"Sentiment(polarity=0.7, subjectivity=0.825)",0.7,0.825,en,0,680,badgujarom4,,BJP,"ShivamShankarS, RahulGandhi",India,
