id,created_at,source,original_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place
1.11793E+18,Mon Apr 15 23:00:19 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Please ask #Modi ji to own up demonetization on any political stage and enjoy people’s response. IMF coughing upb w… https://t.co/OTfObeK5nL,en,0,0,Kanwal33,FALSE,Modi,,INDIA
1.11793E+18,Mon Apr 15 22:59:47 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @JhaSanjay: Why shouldn't PM #Modi who has violated #ElectionCommission twice: 1) Talking about Hindu-majority/minority votes ref Kerala…,en,0,444,bhavin46584658,,"Modi, ElectionCommission",JhaSanjay,
1.11793E+18,Mon Apr 15 22:59:29 +0000 2019,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @JhaSanjay: Why shouldn't PM #Modi who has violated #ElectionCommission twice: 1) Talking about Hindu-majority/minority votes ref Kerala…,en,0,444,GeorgeAlias6,,"Modi, ElectionCommission",JhaSanjay,"Bailiwick of Jersey, United Kingdom"
1.11793E+18,Mon Apr 15 22:58:53 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @JhaSanjay: Dear @ArvindKejriwal Ji: Let’s do a clean sweep of Delhi together. The defeat of the #BJP is crucial to Delhi’s independent…,en,0,648,bhavin46584658,,BJP,"JhaSanjay, ArvindKejriwal",
1.11793E+18,Mon Apr 15 22:58:01 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @JhaSanjay: Dear @ArvindKejriwal Ji: Let’s do a clean sweep of Delhi together. The defeat of the #BJP is crucial to Delhi’s independent…,en,0,648,Asif62900065,,BJP,"JhaSanjay, ArvindKejriwal",
1.11792E+18,Mon Apr 15 22:57:38 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @drshamamohd: India faces a shortage of 6 lakh doctors &amp; 20 lakh nurses.

5.7cr people are pushed into poverty every year due to health…",en,0,993,palani_pon,,,drshamamohd,
1.11792E+18,Mon Apr 15 22:57:05 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","All #Chowkidar s are insane, not the actual ones who actually guard us, these virtual ones! Why can't they get a po… https://t.co/w2Sv880Ua5",en,0,0,search_clean,,Chowkidar,,India
1.11792E+18,Mon Apr 15 22:53:05 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @sarataseer: What a spinner by statesman PM @ImranKhanPTI ! He neutralised Modi's hyper nationalist election manifesto. Imran Khan reali…,en,0,190,aamir_ic,,,"sarataseer, ImranKhanPTI",Lahore & The World
1.11792E+18,Mon Apr 15 22:52:36 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @JhaSanjay: Why shouldn't PM #Modi who has violated #ElectionCommission twice: 1) Talking about Hindu-majority/minority votes ref Kerala…,en,0,444,Colin1Benjamin,,"Modi, ElectionCommission",JhaSanjay,"NISER, Bhubaneswar, India"
1.11792E+18,Mon Apr 15 22:50:32 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","You were elected as #CM of #Delhi to work for the development of #NCT and address the woes of Delhites. Instead, yo… https://t.co/p24ErM9B3k",en,0,0,SHACKandTEA,TRUE,"CM, Delhi, NCT",,Australia 🇦🇺
1.11792E+18,Mon Apr 15 22:50:17 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@navadharma @SyrianLionesss Modi hasn't cleaned the #ganga for hindus or built toilets.  #dontvoteformodi #Modi,en,0,0,ZaZooni,,"ganga, dontvoteformodi, Modi","navadharma, SyrianLionesss",
1.11792E+18,Mon Apr 15 22:47:24 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @sachinsingh1010: 75 year old Govindraj killed for praising #Modi,incident took place near a Orthanadu village in Tanjore, #TamilNadu
#G…",en,0,5638,KhakhariaManish,,"Modi, TamilNadu",sachinsingh1010,"Pune, India"
1.11792E+18,Mon Apr 15 22:47:19 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @JhaSanjay: Dear @ArvindKejriwal Ji: Let’s do a clean sweep of Delhi together. The defeat of the #BJP is crucial to Delhi’s independent…,en,0,648,sadelhisatish1,,BJP,"JhaSanjay, ArvindKejriwal","Indirapuram, Ghaziabad"
1.11792E+18,Mon Apr 15 22:46:48 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@Bahujan4India Where is #bjp it cell when needed ?,en,0,0,harshabv1,,bjp,Bahujan4India,"Illinois, USA"
1.11792E+18,Mon Apr 15 22:45:08 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @annavetticad: So many Indian liberals don't get this simple fact: that #AtalBihariVajpayee was the small single pill, who fed us his bi…",en,0,829,MtmFno,,AtalBihariVajpayee,annavetticad,
